lakename,groupingENSO,groupingNAO,groupingNPO,groupingPC15,lat,lon,lake,GLWDid,AREA_SKM,PERIM_KM,LONG_DEG,LAT_DEG,ELEV_M,CATCH_TSKM
Kyoga,SubSaharanAfrica,NA,NA,NA,1.5,33,lake0398,99,1727.7,692.6,33.01,1.5,1043,308.7
La-ang,NA,NA,NA,NA,30.67,81.23,lake0141,676,277.5,130.4,81.21,30.72,4602,8.2
Ladoga,NorthernEurope,NA,NorthernEurope,NA,61,31,lake0396,16,17539.1,1594.7,31.39,60.84,11,201.1
Lesser_Slave,CentralCanada,NA,NA,NA,55.42,-115.5,lake0454,147,1152,290.7,-115.49,55.43,604,9.5
Limfjorden,NA,NA,NA,NA,56.59,9.28,lake0507,140,1207.7,759.7,9.17,56.78,3,6.7
Low,NA,NA,NA,NA,52.39,-76.69,lake1238,159,1098.9,1163.2,-76.27,52.51,253,43.9
Madaba_Grande,NA,NA,NA,NA,-2.37,-56.55,lake1421,953,196,311.4,-56.63,-2.26,17,20.3
Malawi,NA,NA,EastAfrica,NA,-12,34.5,lake0317,10,29251.5,1606.7,34.59,-11.96,485,116.2
Mallery,NA,NA,NA,NA,63.84,-98.37,lake0498,413,444.7,201.9,-98.36,63.97,135,6.3
Manas,NA,NA,NA,NA,45.83,86.1,lake0208,664,282.9,109.5,85.94,45.81,272,7.2
Mangueira,NA,SouthernBrazil,NA,NA,-33.17,-52.83,lake0053,231,774.6,270.2,-52.84,-33.16,8,1.2
